entity,method,precision,recall,f1,specificity,Domain
Diazepam,BC-EmbedEq,0.8333333333333334,0.2222222222222222,0.3508771929824561,0.0,Drug
Diazepam,BC-Curated,1.0,0.9555555555555556,0.9772727272727273,1.0,Drug
Diazepam,BC-Final,1.0,0.9555555555555556,0.9772727272727273,1.0,Drug
Diazepam,gpt,1.0,0.08888888888888889,0.163265306122449,1.0,Drug
Diazepam,grok,1.0,0.4666666666666667,0.6363636363636364,1.0,Drug
Diazepam,gemini,1.0,0.35555555555555557,0.5245901639344263,1.0,Drug
Diazepam,llama,1.0,0.17777777777777778,0.3018867924528302,1.0,Drug
Ivermectin,BC-FuzzyEq,1.0,0.14893617021276595,0.25925925925925924,1.0,Drug
Ivermectin,BC-EmbedEq,1.0,0.5319148936170213,0.6944444444444444,1.0,Drug
Ivermectin,BC-Curated,1.0,0.9787234042553191,0.989247311827957,1.0,Drug
Ivermectin,BC-Final,1.0,0.9787234042553191,0.989247311827957,1.0,Drug
Ivermectin,gpt,1.0,0.1702127659574468,0.2909090909090909,1.0,Drug
Ivermectin,grok,1.0,0.5319148936170213,0.6944444444444444,1.0,Drug
Ivermectin,gemini,0.08670520231213873,0.9574468085106383,0.15901060070671377,0.0,Drug
Ivermectin,llama,1.0,0.2127659574468085,0.3508771929824561,1.0,Drug
Salbutamol,BC-FuzzyEq,1.0,0.05,0.09523809523809523,0.0,Drug
Salbutamol,BC-EmbedEq,1.0,0.225,0.36734693877551017,0.0,Drug
Salbutamol,BC-Curated,1.0,0.9,0.9473684210526316,0.0,Drug
Salbutamol,BC-Final,1.0,0.9,0.9473684210526316,0.0,Drug
Salbutamol,gpt,1.0,0.2,0.33333333333333337,0.0,Drug
Salbutamol,grok,1.0,0.575,0.7301587301587301,0.0,Drug
Salbutamol,gemini,1.0,0.45,0.6206896551724138,0.0,Drug
Salbutamol,llama,1.0,0.35,0.5185185185185185,0.0,Drug
Latanoprost,BC-FuzzyEq,1.0,0.25,0.4,0.0,Drug
Latanoprost,BC-EmbedEq,1.0,0.25,0.4,0.0,Drug
Latanoprost,BC-Curated,1.0,0.9375,0.967741935483871,0.0,Drug
Latanoprost,BC-Final,1.0,0.9375,0.967741935483871,0.0,Drug
Latanoprost,gpt,1.0,0.3125,0.47619047619047616,0.0,Drug
Latanoprost,grok,1.0,0.375,0.5454545454545454,0.0,Drug
Latanoprost,gemini,1.0,0.25,0.4,0.0,Drug
Latanoprost,llama,1.0,0.25,0.4,0.0,Drug
Iohexol,BC-FuzzyEq,1.0,0.1111111111111111,0.19999999999999998,1.0,Drug
Iohexol,BC-EmbedEq,0.75,0.16666666666666666,0.27272727272727276,0.0,Drug
Iohexol,BC-Curated,1.0,0.9444444444444444,0.9714285714285714,1.0,Drug
Iohexol,BC-Final,1.0,0.9444444444444444,0.9714285714285714,1.0,Drug
Iohexol,gpt,1.0,0.1111111111111111,0.19999999999999998,1.0,Drug
Iohexol,grok,1.0,0.6666666666666666,0.8,1.0,Drug
Iohexol,gemini,1.0,0.6666666666666666,0.8,1.0,Drug
Iohexol,llama,1.0,0.6666666666666666,0.8,1.0,Drug
GCK,BC-FuzzyEq,1.0,0.045454545454545456,0.08695652173913045,1.0,Gene
GCK,BC-EmbedEq,1.0,0.2727272727272727,0.42857142857142855,1.0,Gene
GCK,BC-Curated,1.0,0.8636363636363636,0.9268292682926829,1.0,Gene
GCK,BC-Final,1.0,0.8636363636363636,0.9268292682926829,1.0,Gene
GCK,gpt,1.0,0.2727272727272727,0.42857142857142855,1.0,Gene
GCK,grok,1.0,0.5,0.6666666666666666,1.0,Gene
GCK,gemini,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.3333333333333333,Gene
GCK,llama,0.8181818181818182,0.4090909090909091,0.5454545454545455,0.3333333333333333,Gene
AIRE,BC-FuzzyEq,1.0,0.08333333333333333,0.15384615384615385,1.0,Gene
AIRE,BC-EmbedEq,1.0,0.16666666666666666,0.2857142857142857,1.0,Gene
AIRE,BC-Curated,1.0,0.75,0.8571428571428571,1.0,Gene
AIRE,BC-Final,1.0,0.75,0.8571428571428571,1.0,Gene
AIRE,gpt,1.0,0.08333333333333333,0.15384615384615385,1.0,Gene
AIRE,grok,0.875,0.5833333333333334,0.7000000000000001,0.0,Gene
AIRE,gemini,1.0,0.5833333333333334,0.7368421052631579,1.0,Gene
AIRE,llama,1.0,0.5833333333333334,0.7368421052631579,1.0,Gene
EGFR,BC-FuzzyEq,1.0,0.09090909090909091,0.16666666666666669,0.0,Gene
EGFR,BC-EmbedEq,1.0,0.2727272727272727,0.42857142857142855,0.0,Gene
EGFR,BC-Curated,1.0,0.8636363636363636,0.9268292682926829,0.0,Gene
EGFR,BC-Final,1.0,0.8636363636363636,0.9268292682926829,0.0,Gene
EGFR,gpt,1.0,0.045454545454545456,0.08695652173913045,0.0,Gene
EGFR,grok,1.0,0.36363636363636365,0.5333333333333333,0.0,Gene
EGFR,gemini,1.0,0.36363636363636365,0.5333333333333333,0.0,Gene
EGFR,llama,1.0,0.4090909090909091,0.5806451612903226,0.0,Gene
TP53,BC-FuzzyEq,1.0,0.05263157894736842,0.1,1.0,Gene
TP53,BC-EmbedEq,0.9090909090909091,0.5263157894736842,0.6666666666666666,0.5,Gene
TP53,BC-Curated,1.0,0.7368421052631579,0.8484848484848484,1.0,Gene
TP53,BC-Final,1.0,0.7368421052631579,0.8484848484848484,1.0,Gene
TP53,gpt,0.8333333333333334,0.2631578947368421,0.39999999999999997,0.5,Gene
TP53,grok,1.0,0.5263157894736842,0.6896551724137931,1.0,Gene
TP53,gemini,1.0,0.47368421052631576,0.6428571428571429,1.0,Gene
TP53,llama,1.0,0.42105263157894735,0.5925925925925926,1.0,Gene
SLC2A1,BC-FuzzyEq,1.0,0.037037037037037035,0.07142857142857142,1.0,Gene
SLC2A1,BC-EmbedEq,1.0,0.2222222222222222,0.3636363636363636,1.0,Gene
SLC2A1,BC-Curated,1.0,0.8148148148148148,0.8979591836734693,1.0,Gene
SLC2A1,BC-Final,1.0,0.8148148148148148,0.8979591836734693,1.0,Gene
SLC2A1,gpt,1.0,0.14814814814814814,0.25806451612903225,1.0,Gene
SLC2A1,grok,1.0,0.2222222222222222,0.3636363636363636,1.0,Gene
SLC2A1,gemini,0.5625,0.3333333333333333,0.4186046511627907,0.0,Gene
SLC2A1,llama,1.0,0.2222222222222222,0.3636363636363636,1.0,Gene
ACTB,BC-FuzzyEq,1.0,0.0625,0.11764705882352941,0.0,Gene
ACTB,BC-EmbedEq,1.0,0.4375,0.6086956521739131,0.0,Gene
ACTB,BC-Curated,1.0,0.8125,0.896551724137931,0.0,Gene
ACTB,BC-Final,1.0,0.8125,0.896551724137931,0.0,Gene
ACTB,gpt,1.0,0.25,0.4,0.0,Gene
ACTB,grok,1.0,0.4375,0.6086956521739131,0.0,Gene
ACTB,gemini,1.0,0.375,0.5454545454545454,0.0,Gene
ACTB,llama,1.0,0.3125,0.47619047619047616,0.0,Gene
CDK1,BC-FuzzyEq,1.0,0.07142857142857142,0.13333333333333333,1.0,Gene
CDK1,BC-EmbedEq,1.0,0.6428571428571429,0.782608695652174,1.0,Gene
CDK1,BC-Curated,1.0,0.7857142857142857,0.88,1.0,Gene
CDK1,BC-Final,1.0,0.7857142857142857,0.88,1.0,Gene
CDK1,gpt,1.0,0.07142857142857142,0.13333333333333333,1.0,Gene
CDK1,grok,1.0,0.5714285714285714,0.7272727272727273,1.0,Gene
CDK1,gemini,0.45454545454545453,0.35714285714285715,0.4,0.0,Gene
CDK1,llama,1.0,0.5,0.6666666666666666,1.0,Gene
BAX,BC-FuzzyEq,1.0,0.14285714285714285,0.25,0.0,Gene
BAX,BC-EmbedEq,1.0,0.6428571428571429,0.782608695652174,0.0,Gene
BAX,BC-Curated,1.0,0.7857142857142857,0.88,0.0,Gene
BAX,BC-Final,1.0,0.7857142857142857,0.88,0.0,Gene
BAX,gpt,1.0,0.5714285714285714,0.7272727272727273,0.0,Gene
BAX,grok,1.0,0.21428571428571427,0.35294117647058826,0.0,Gene
BAX,gemini,1.0,0.5,0.6666666666666666,0.0,Gene
BAX,llama,1.0,0.5714285714285714,0.7272727272727273,0.0,Gene
BRCA1,BC-FuzzyEq,1.0,0.1,0.18181818181818182,0.0,Gene
BRCA1,BC-EmbedEq,1.0,0.3,0.4615384615384615,0.0,Gene
BRCA1,BC-Curated,1.0,0.9,0.9473684210526316,0.0,Gene
BRCA1,BC-Final,1.0,0.9,0.9473684210526316,0.0,Gene
BRCA1,gpt,1.0,0.2,0.33333333333333337,0.0,Gene
BRCA1,grok,1.0,0.35,0.5185185185185185,0.0,Gene
BRCA1,gemini,1.0,0.35,0.5185185185185185,0.0,Gene
BRCA1,llama,1.0,0.45,0.6206896551724138,0.0,Gene
NR5A1,BC-FuzzyEq,1.0,0.04,0.07692307692307693,1.0,Gene
NR5A1,BC-EmbedEq,0.9,0.36,0.5142857142857143,0.0,Gene
NR5A1,BC-Curated,1.0,0.84,0.9130434782608696,1.0,Gene
NR5A1,BC-Final,1.0,0.84,0.9130434782608696,1.0,Gene
NR5A1,gpt,1.0,0.04,0.07692307692307693,1.0,Gene
NR5A1,grok,1.0,0.32,0.48484848484848486,1.0,Gene
NR5A1,gemini,1.0,0.56,0.717948717948718,1.0,Gene
NR5A1,llama,1.0,0.44,0.6111111111111112,1.0,Gene
KRAS,BC-FuzzyEq,1.0,0.05263157894736842,0.1,1.0,Gene
KRAS,BC-EmbedEq,0.9545454545454546,0.5526315789473685,0.7000000000000001,0.0,Gene
KRAS,BC-Curated,1.0,0.8947368421052632,0.9444444444444444,1.0,Gene
KRAS,BC-Final,1.0,0.8947368421052632,0.9444444444444444,1.0,Gene
KRAS,gpt,1.0,0.2894736842105263,0.4489795918367347,1.0,Gene
KRAS,grok,1.0,0.4473684210526316,0.6181818181818182,1.0,Gene
KRAS,gemini,1.0,0.4473684210526316,0.6181818181818182,1.0,Gene
KRAS,llama,1.0,0.4473684210526316,0.6181818181818182,1.0,Gene
CDH1,BC-FuzzyEq,1.0,0.038461538461538464,0.07407407407407407,0.0,Gene
CDH1,BC-EmbedEq,1.0,0.34615384615384615,0.5142857142857142,0.0,Gene
CDH1,BC-Curated,1.0,0.7307692307692307,0.8444444444444443,0.0,Gene
CDH1,BC-Final,1.0,0.7307692307692307,0.8444444444444443,0.0,Gene
CDH1,gpt,1.0,0.23076923076923078,0.375,0.0,Gene
CDH1,grok,1.0,0.38461538461538464,0.5555555555555556,0.0,Gene
CDH1,gemini,1.0,0.4230769230769231,0.5945945945945945,0.0,Gene
CDH1,llama,1.0,0.3076923076923077,0.47058823529411764,0.0,Gene
TUBB,BC-FuzzyEq,1.0,0.05263157894736842,0.1,0.0,Gene
TUBB,BC-EmbedEq,1.0,0.5263157894736842,0.6896551724137931,0.0,Gene
